Subject;Type;Area;Sensitivity;Bias;Sensitivity_tot;Bias_tot
1;Unrelated;cedx;0,8924679;-0,0461997;0,7855769;-0,2825
2;Unrelated;cedx;0,9375;1;0,8333333;0,0000
3;Unrelated;cedx;0,96875;1;0,9420996;0,1776
4;Unrelated;cedx;0,9607323;0,1318328;0,9545455;0,0000
5;Unrelated;cedx;0,8869048;0,26315789;0,775;-0,1111
6;Unrelated;cedx;0,9488095;0,30232558;0,8428571;-0,3636
7;Unrelated;cedx;0,9382664;-0,58465011;0,9440217;-0,5534
8;Unrelated;cedx;0,96875;-1;0,9270833;-1,0000
9;Unrelated;cedx;0,9895833;1;0,9208937;-0,6489
10;Unrelated;cedx;0,9895833;1;0,9208937;-0,6489
11;Unrelated;cedx;0,96875;1;0,9010025;-0,2025
12;Unrelated;cedx;0,8489316;0,61810467;0,7318376;0,1394
13;Unrelated;cedx;0,8621032;0,61151079;0,7279412;0,0811
14;Unrelated;cedx;0,875;0,6;0,7982456;0,1739
15;Unrelated;cedx;0,8605769;0,103448;0,7951389;-0,0847
16;Unrelated;cedx;0,9368056;0,40659341;0,9440217;0,5534
17;Unrelated;cedx;0,8621032;0,61151079;0,7791353;0,1915
18;Unrelated;cedx;0,9420996;-0,17757009;0,8910428;-0,4601
19;Unrelated;cedx;0,6877894;-0,05097312;0,58125;-0,0448
20;Unrelated;cedx;0,9791667;1;0,9040404;-0,4211
21;Unrelated;cedx;0,7724359;0,23943662;0,6435897;0,0288
22;Unrelated;cedx;0,8294513;-0,72078907;0,7795031;-0,6761
23;Unrelated;cedx;0,9125;0,52380952;0,775;-0,1111
24;Unrelated;cedx;0,775;0,11111111;0,6125;-0,0323
1;Unrelated;cz;0,8924679;-0,0461997;0,7855769;-0,28251121
2;Unrelated;cz;0,9368056;0,40659341;0,8848684;-0,08571428
3;Unrelated;cz;0,9010025;0,20253165;0,8848684;0,08571428
4;Unrelated;cz;0,9895833;1;0,9668972;-0,31343283
5;Unrelated;cz;0,8621032;0,61151079;0,8035714;0,27272727
6;Unrelated;cz;0,9420996;-0,17757009;0,8506494;-0,52173913
7;Unrelated;cz;0,8869048;-0,26315789;0,8869048;-0,26315789
8;Unrelated;cz;0,9895833;1;0,9440217;-0,55339806
9;Unrelated;cz;0,9895833;1;0,9668972;-0,31343283
10;Unrelated;cz;0,9010025;0,20253165;0,8684211;0
11;Unrelated;cz;0,9554865;-0,465116;0,9092072;-0,67605634
12;Unrelated;cz;0,9166667;1;0,8375;0,23076923
13;Unrelated;cz;0,8876736;0,58268934;0,7729779;0,03643725
14;Unrelated;cz;0,8489316;0,61810467;0,7855769;0,28251121
15;Unrelated;cz;0,9479167;1;0,8684211;0
16;Unrelated;cz;0,9895833;1;0,9782609;0
17;Unrelated;cz;0,9479167;1;0,8848684;0,08571428
18;Unrelated;cz;0,9368056;0,40659341;0,8536765;-0,1959799
19;Unrelated;cz;0,4014137;0,05097312;0,41875;0,04477612
20;Unrelated;cz;0,914881;0,11888112;0,8536765;-0,1959799
21;Unrelated;cz;0,7;0;0,672619;-0,01818182
22;Unrelated;cz;0,7982456;-0,17391304;0,7791353;-0,19148936
23;Unrelated;cz;0,8428571;0,36363636;0,672619;-0,01818182
24;Unrelated;cz;0,9368056;0,40659341;0,8536765;-0,1959799
1;Critical_lure;cedx;0,2083333;-1;;
2;Critical_lure;cedx;0,5;0;;
3;Critical_lure;cedx;0,8869048;-0,26315789;;
4;Critical_lure;cedx;0,9420996;-0,17757009;;
5;Critical_lure;cedx;0,3392857;-0,26315789;;
6;Critical_lure;cedx;0,21875;-1;;
7;Critical_lure;cedx;0,9554865;-0,46511628;;
8;Critical_lure;cedx;0,84375;-1;;
9;Critical_lure;cedx;0,7626812;-0,64885496;;
10;Critical_lure;cedx;0,7626812;-0,64885496;;
11;Critical_lure;cedx;0,7380952;-0,363636;;
12;Critical_lure;cedx;0,4212121;-0,02877698;;
13;Critical_lure;cedx;0,3444444;-0,12903226;;
14;Critical_lure;cedx;0,6125;-0,03225806;;
15;Critical_lure;cedx;0,625;-0,111111;;
16;Critical_lure;cedx;0,9583333;1;;
17;Critical_lure;cedx;0,577381;-0,01408451;;
18;Critical_lure;cedx;0,7739899;-0,50837989;;
19;Critical_lure;cedx;0,2842262;-0,34031414;;
20;Critical_lure;cedx;0,7121212;-0,42105263;;
21;Critical_lure;cedx;0,3169192;-0,13944223;;
22;Critical_lure;cedx;0,2395833;-1;;
23;Critical_lure;cedx;0,1875;-1;;
24;Critical_lure;cedx;0,15625;-1;;
1;Critical_lure;cz;0,2083333;-1;;
2;Critical_lure;cz;0,7666667;-0,28571429;;
3;Critical_lure;cz;0,8516082;-0,06403941;;
4;Critical_lure;cz;0,9208937;-0,64885496;;
5;Critical_lure;cz;0,672619;0,01818182;;
6;Critical_lure;cz;0,2291667;-1;;
7;Critical_lure;cz;0,8869048;-0,26315789;;
8;Critical_lure;cz;0,8487319;-0,7245509;;
9;Critical_lure;cz;0,9208937;-0,64885496;;
10;Critical_lure;cz;0,7982456;-0,17391304;;
11;Critical_lure;cz;0,8091787;-0,708861;;
12;Critical_lure;cz;0,6458333;-0,05882353;;
13;Critical_lure;cz;0,4097222;-0,08474576;;
14;Critical_lure;cz;0,6435897;0,02877698;;
15;Critical_lure;cz;0,6637427;-0,173913;;
16;Critical_lure;cz;0,9554865;-0,46511628;;
17;Critical_lure;cz;0,7379386;-0,20502092;;
18;Critical_lure;cz;0,6083333;-0,14893617;;
19;Critical_lure;cz;0,4565972;0,02661597;;
20;Critical_lure;cz;0,7013889;-0,25581395;;
21;Critical_lure;cz;0,6125;-0,03225806;;
22;Critical_lure;cz;0,7379386;-0,20502092;;
23;Critical_lure;cz;0,15625;-1;;
24;Critical_lure;cz;0,6083333;-0,14893617;;
