Subject;session;Area;word;resp_corr;resp_resp;Accuracy;Type;Word_ID_num;Type.N
1;a;cz;fumo;0;1;0;critical_lure;65;3
1;a;cz;penna;0;1;0;critical_lure;66;3
1;a;cz;sedia;0;1;0;critical_lure;67;3
1;a;cz;alto;0;1;0;critical_lure;68;3
1;a;cz;freddo;0;1;0;critical_lure;69;3
1;a;cz;lampada;0;1;0;critical_lure;70;3
1;a;cz;giustizia;0;1;0;critical_lure;71;3
1;a;cz;lento;0;1;0;critical_lure;72;3
1;a;cz;pipa;1;1;1;studied_word;1;4
1;a;cz;veloce;1;0;0;studied_word;2;4
1;a;cz;inchiostro;1;1;1;studied_word;3;4
1;a;cz;tavolo;1;1;1;studied_word;4;4
1;a;cz;basso;1;0;0;studied_word;5;4
1;a;cz;ghiaccio;1;0;0;studied_word;6;4
1;a;cz;polizia;1;0;0;studied_word;7;4
1;a;cz;luce;1;0;0;studied_word;8;4
1;a;cz;tabacco;1;1;1;studied_word;9;4
1;a;cz;ballo;1;1;1;studied_word;10;4
1;a;cz;foglio;1;1;1;studied_word;11;4
1;a;cz;gambe;1;0;0;studied_word;12;4
1;a;cz;adige;1;1;1;studied_word;13;4
1;a;cz;coperta;1;0;0;studied_word;14;4
1;a;cz;crimine;1;1;1;studied_word;15;4
1;a;cz;accesa;1;0;0;studied_word;16;4
1;a;cz;polmoni;1;1;1;studied_word;17;4
1;a;cz;calmo;1;0;0;studied_word;18;4
1;a;cz;piuma;1;1;1;studied_word;19;4
1;a;cz;poltrona;1;1;1;studied_word;20;4
1;a;cz;gigante;1;1;1;studied_word;21;4
1;a;cz;pioggia;1;1;1;studied_word;22;4
1;a;cz;tribunale;1;0;0;studied_word;23;4
1;a;cz;desiderio;1;0;0;studied_word;24;4
1;a;cz;cancro;1;1;1;studied_word;25;4
1;a;cz;sereno;1;0;0;studied_word;26;4
1;a;cz;sfera;1;1;1;studied_word;27;4
1;a;cz;sdraio;1;1;1;studied_word;28;4
1;a;cz;scaffale;1;0;0;studied_word;29;4
1;a;cz;coperto;1;1;1;studied_word;30;4
1;a;cz;ingiusta;1;1;1;studied_word;31;4
1;a;cz;alogena;1;1;1;studied_word;32;4
1;a;cz;cancellare;0;0;1;unrelated_lure;33;1
1;a;cz;plastica;0;0;1;unrelated_lure;34;1
1;a;cz;sgonfia;0;0;1;unrelated_lure;35;1
1;a;cz;denti;0;1;0;unrelated_lure;36;1
1;a;cz;bella;0;0;1;unrelated_lure;37;1
1;a;cz;affascinante;0;0;1;unrelated_lure;38;1
1;a;cz;piatta;0;0;1;unrelated_lure;39;1
1;a;cz;amore;0;0;1;unrelated_lure;40;1
1;a;cz;forte;0;0;1;unrelated_lure;41;1
1;a;cz;adamo;0;0;1;unrelated_lure;42;1
1;a;cz;capelli;0;1;0;unrelated_lure;43;1
1;a;cz;cravatta;0;0;1;unrelated_lure;44;1
1;a;cz;pasticcino;0;0;1;unrelated_lure;45;1
1;a;cz;miele;0;0;1;unrelated_lure;46;1
1;a;cz;crostata;0;0;1;unrelated_lure;47;1
1;a;cz;crema;0;0;1;unrelated_lure;48;1
1;a;cz;puzza;0;0;1;weakly_related_lure;49;2
1;a;cz;accendere;0;0;1;weakly_related_lure;50;2
1;a;cz;piano;0;1;0;weakly_related_lure;51;2
1;a;cz;formica;0;1;0;weakly_related_lure;52;2
1;a;cz;astuccio;0;0;1;weakly_related_lure;53;2
1;a;cz;grafia;0;0;1;weakly_related_lure;54;2
1;a;cz;studio;0;0;1;weakly_related_lure;55;2
1;a;cz;comoda;0;1;0;weakly_related_lure;56;2
1;a;cz;grado;0;0;1;weakly_related_lure;57;2
1;a;cz;palo;0;0;1;weakly_related_lure;58;2
1;a;cz;naso;0;0;1;weakly_related_lure;59;2
1;a;cz;sciare;0;0;1;weakly_related_lure;60;2
1;a;cz;martello;0;0;1;weakly_related_lure;61;2
1;a;cz;utopia;0;0;1;weakly_related_lure;62;2
1;a;cz;aladino;0;0;1;weakly_related_lure;63;2
1;a;cz;neon;0;0;1;weakly_related_lure;64;2
1;b;cedx;soffice;0;0;1;critical_lure;137;3
1;b;cedx;bandiera;0;1;0;critical_lure;138;3
1;b;cedx;ladro;0;1;0;critical_lure;139;3
1;b;cedx;ago;0;1;0;critical_lure;140;3
1;b;cedx;ragno;0;0;1;critical_lure;141;3
1;b;cedx;fiume;0;0;1;critical_lure;142;3
1;b;cedx;musica;0;0;1;critical_lure;143;3
1;b;cedx;amaro;0;1;0;critical_lure;144;3
1;b;cedx;morbido;1;1;1;studied_word;73;4
1;b;cedx;italia;1;1;1;studied_word;74;4
1;b;cedx;furfante;1;1;1;studied_word;75;4
1;b;cedx;foce;1;0;0;studied_word;76;4
1;b;cedx;filo;1;1;1;studied_word;77;4
1;b;cedx;concerto;1;1;1;studied_word;78;4
1;b;cedx;dolce;1;1;1;studied_word;79;4
1;b;cedx;tela;1;1;1;studied_word;80;4
1;b;cedx;letto;1;1;1;studied_word;81;4
1;b;cedx;vento;1;1;1;studied_word;82;4
1;b;cedx;rapinatore;1;1;1;studied_word;83;4
1;b;cedx;diga;1;0;0;studied_word;84;4
1;b;cedx;punta;1;1;1;studied_word;85;4
1;b;cedx;ritmo;1;0;0;studied_word;86;4
1;b;cedx;lucano;1;1;1;studied_word;87;4
1;b;cedx;insetto;1;1;1;studied_word;88;4
1;b;cedx;piume;1;0;0;studied_word;89;4
1;b;cedx;asta;1;0;0;studied_word;90;4
1;b;cedx;bandito;1;1;1;studied_word;91;4
1;b;cedx;corrente;1;1;1;studied_word;92;4
1;b;cedx;dolore;1;0;0;studied_word;93;4
1;b;cedx;nota;1;0;0;studied_word;94;4
1;b;cedx;digerire;1;0;0;studied_word;95;4
1;b;cedx;mosca;1;0;0;studied_word;96;4
1;b;cedx;molle;1;0;0;studied_word;97;4
1;b;cedx;strisce;1;1;1;studied_word;98;4
1;b;cedx;prigione;1;1;1;studied_word;99;4
1;b;cedx;arno;1;1;1;studied_word;100;4
1;b;cedx;siringa;1;0;0;studied_word;101;4
1;b;cedx;disco;1;1;1;studied_word;102;4
1;b;cedx;averna;1;1;1;studied_word;103;4
1;b;cedx;buco;1;0;0;studied_word;104;4
1;b;cedx;farina;0;0;1;unrelated_lure;105;1
1;b;cedx;quotidiano;0;0;1;unrelated_lure;106;1
1;b;cedx;fragrante;0;0;1;unrelated_lure;107;1
1;b;cedx;olio;0;0;1;unrelated_lure;108;1
1;b;cedx;furore;0;0;1;unrelated_lure;109;1
1;b;cedx;avversione;0;0;1;unrelated_lure;110;1
1;b;cedx;fastidio;0;0;1;unrelated_lure;111;1
1;b;cedx;prepotente;0;0;1;unrelated_lure;112;1
1;b;cedx;scarpe;0;0;1;unrelated_lure;113;1
1;b;cedx;pianta;0;0;1;unrelated_lure;114;1
1;b;cedx;capo;0;0;1;unrelated_lure;115;1
1;b;cedx;marcia;0;0;1;unrelated_lure;116;1
1;b;cedx;corona;0;0;1;unrelated_lure;117;1
1;b;cedx;cuori;0;0;1;unrelated_lure;118;1
