ord;Word;DSM.9.raw;word
1;soffice;0,095548813;soffice
2;fumo;0,372624109;fumo
3;lento;0,241627112;lento
4;bandiera;0,136610538;bandiera
5;penna;0,111417699;penna
6;sedia;0,265765047;sedia
7;ladro;0,268460314;ladro
8;fiume;0,251293669;fiume
9;alto;0,183796513;alto
10;ago;0,090266269;ago
11;musica;0,230955766;musica
12;freddo;0,258940718;freddo
13;giustizia;0,14789217;giustizia
14;lampada;0,068465609;lampada
15;amaro;0,276697464;amaro
16;ragno;0,120114167;ragno
17;piumino;0,140450483;piumino
18;schiumoso;0,083352285;schiumoso
19;puzza;0,114233158;puzza
20;accendere;0,123530996;accendere
21;piano;0,047690692;piano
22;formica;0,012820117;formica
23;mondiali;0,033508347;mondiali
24;innalzare;0,006548638;innalzare
25;astuccio;0,170972849;astuccio
26;grafia;0,113236331;grafia
27;studio;0,007106933;studio
28;comoda;0,125995661;comoda
29;pistola;0,198514106;pistola
30;carcere;0,341268803;carcere
31;valle;0,110265429;valle
32;detriti;0,089796887;detriti
33;grado;0,042023875;grado
34;palo;0,144436158;palo
35;iniezione;0,078661723;iniezione
36;pungere;0,109730548;pungere
37;suono;0,183261291;suono
38;chitarra;0,094660347;chitarra
39;naso;0,071120286;naso
40;sciare;0,173984528;sciare
41;martello;0,024595121;martello
42;utopia;-0,000742955;utopia
43;aladino;0,047040613;aladino
44;neon;0,034481653;neon
45;salato;0,201542863;salato
46;medicina;0,074401146;medicina
47;fobia;0,316921015;fobia
48;nero;0,075235057;nero
49;adamo;0,023508356;adamo
50;amore;0,069074577;amore
51;denti;0,006374467;denti
52;capelli;0,078761951;capelli
53;pasticcino;0,07358102;pasticcino
54;crema;0,045976412;crema
55;piatta;0,048637379;piatta
56;cancellare;-0,041344493;cancellare
57;plastica;0,048486562;plastica
58;affascinante;0,042153522;affascinante
59;forte;0,070485279;forte
60;crostata;0,080003203;crostata
61;sgonfia;0,032281408;sgonfia
62;miele;0,016640363;miele
63;cravatta;0,050625174;cravatta
64;bella;0,061806653;bella
65;farina;0,066162077;farina
66;olio;-0,010810015;olio
67;marcia;0,017848895;marcia
68;pianta;0,0158245;pianta
69;elogio;0,012930099;elogio
70;avversione;0,019402068;avversione
71;prepotente;0,027321519;prepotente
72;quotidiano;0,009029215;quotidiano
73;corona;0,063695746;corona
74;cuori;0,104780853;cuori
75;sole;0,033594586;sole
76;scarpe;0,026520234;scarpe
77;furore;0,009784007;furore
78;capo;-0,008720349;capo
79;fastidio;0,17423654;fastidio
80;fragrante;0,024303684;fragrante
81;morbido;0,122073489;morbido
82;letto;0,040014494;letto
83;piume;0,084941781;piume
84;molle;0,051853893;molle
85;pipa;0,279571615;pipa
86;tabacco;0,294958594;tabacco
87;polmoni;0,214338608;polmoni
88;cancro;0,186893547;cancro
89;veloce;0,132714559;veloce
90;ballo;0,036263499;ballo
91;calmo;0,08241631;calmo
92;sereno;0,085838691;sereno
93;italia;0,073075075;italia
94;vento;0,10226642;vento
95;asta;-0,021931491;asta
96;strisce;0,067771868;strisce
97;inchiostro;0,078092089;inchiostro
98;foglio;0,091402286;foglio
99;piuma;0,041617762;piuma
100;sfera;0,075756671;sfera
101;tavolo;0,15016534;tavolo
102;gambe;0,187138956;gambe
103;poltrona;0,245738943;poltrona
104;sdraio;0,204905251;sdraio
105;furfante;0,19138943;furfante
106;rapinatore;0,262714518;rapinatore
107;bandito;0,091796921;bandito
108;prigione;0,172183915;prigione
109;foce;0,171501223;foce
110;diga;0,155959517;diga
111;corrente;0,096050113;corrente
112;arno;0,140363506;arno
113;basso;0,071693623;basso
114;adige;0,09729472;adige
115;gigante;0,065257906;gigante
116;scaffale;0,059820717;scaffale
117;filo;0,074208826;filo
118;punta;0,004368491;punta
119;dolore;0,046740712;dolore
120;siringa;0,122907202;siringa
121;concerto;0,110326836;concerto
122;ritmo;0,063417362;ritmo
123;nota;0,014761021;nota
124;disco;0,082771954;disco
125;ghiaccio;0,177296512;ghiaccio
126;coperta;0,134088964;coperta
127;pioggia;0,214320955;pioggia
128;coperto;0,139261511;coperto
129;polizia;0,060935945;polizia
130;crimine;0,125216718;crimine
131;tribunale;0,148735549;tribunale
132;ingiusta;0,125622649;ingiusta
133;luce;0,087772487;luce
134;accesa;0,042790937;accesa
135;desiderio;0,076519593;desiderio
136;alogena;0,047468217;alogena
137;dolce;0,237419071;dolce
138;lucano;0,034427964;lucano
139;digerire;0,110886773;digerire
140;averna;0,190318308;averna
141;tela;0,103417235;tela
142;insetto;0,095580891;insetto
143;mosca;0,096596049;mosca
144;buco;0,087853701;buco
